2018-05-30 09:37:54,997 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: BasicMaven:BasicSpring:0.0.1-SNAPSHOT @ /home/bridgeit/Spring/BasicSpring/pom.xml.
2018-05-30 09:37:55,001 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Test:Testing:0.0.1-SNAPSHOT @ /home/bridgeit/Spring/Testing/pom.xml.
2018-05-30 09:37:56,021 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-30 09:37:56,028 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-30 09:37:56,041 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-30 09:37:56,042 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-30 09:37:56,576 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-30 09:37:56,581 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-30 09:37:56,583 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-30 09:37:56,583 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-30 09:37:56,842 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MavenDemo:DemoMaven:0.0.1-SNAPSHOT @ /home/bridgeit/Spring/DemoMaven/pom.xml.
2018-05-30 09:37:57,952 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-30 09:37:57,954 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 22 resources
